feature,mz,mz max,mz min,mz std,rt,rt end,rt max,rt min,rt start,rt std
FT-086,1252.3224421698592,1252.394260929982,1252.2598314863185,0.03575712659087246,1252.0492024447103,1259.1190925011254,1254.3147136599673,1249.55524604749,1244.1498037484978,1.2944815304881885
FT-087,1252.3175410114536,1252.3916994957185,1252.2559552498667,0.03532675237058757,1273.902456757388,1292.6649155155296,1276.3561393171406,1271.5576652920972,1261.4287173363452,1.2088674378886384
FT-088,1223.7937689750972,1223.8660708013226,1223.731097431243,0.03552048823433691,1299.7601011100369,1336.2607719587243,1301.8750860839802,1297.2461217844962,1283.6113158516255,1.1365488554599819
FT-089,1233.2816716646137,1233.3544547572506,1233.2180624334412,0.03549444460731475,1299.4896330326999,1318.851755163174,1301.5338470303554,1296.9599185364402,1284.7912920438337,1.2163430138721094
FT-090,1231.3077713436496,1231.380369112572,1231.2456135701839,0.03567441761587989,1298.9480323268451,1316.7574740994373,1301.0705844761897,1296.563144995367,1284.9935937696846,1.1223607034036005
FT-091,1251.314808260303,1251.384541992356,1251.24725487946,0.03417480742862532,1251.9082930023933,1258.873232105109,1254.3394561869425,1249.2792991497554,1243.48779943925,1.2740584064472709
FT-092,1251.3142498680247,1251.3872814292572,1251.2506210064703,0.03612068674566438,1273.8054275719012,1292.538921522056,1275.9376310450957,1271.4144752449388,1260.8067512512187,1.1507203302263713
FT-093,1233.7846794103978,1233.854648992817,1233.7185235688678,0.03524419914927435,1299.2759946740543,1319.445562362675,1301.1913346860101,1296.8841705286684,1284.2519822328006,1.1438939901940073
FT-094,1221.278586377492,1221.3500894868318,1221.2143035851589,0.0353492358973952,1303.4817365710865,1321.727132797243,1305.6325974876218,1300.8830375216428,1288.7102018083829,1.2677084949312982
FT-095,1296.8385481999308,1296.9145054717983,1296.7740241235522,0.036768193553219045,1325.9004245551303,1343.095463462498,1328.046641465988,1323.3579718833523,1306.2086665112035,1.192316158113339
